Title,Authors,,,
(1) Policy Search with Non-uniform State Representations for Environmental Sampling,Sandeep Manjanna (McGill University); Herke van Hoof (University of Amsterdam); Gregory Dudek (McGill University),,,
(2) Modelling GxE with historical weather information improves genomic prediction in new environments,Jussi Gillberg (Aalto University); Pekka Marttinen (Aalto University); Hiroshi Mamitsuka (Kyoto University); Samuel Kaski (Aalto University),,,
(3) Machine Learning empowered Occupancy Sensing for Smart Buildings,Han Zou (UC Berkeley); Hari Prasanna Das (UC Berkeley ); Jianfei Yang (Nanyang Technological University); Yuxun Zhou (UC Berkeley); Costas Spanos (UC Berkeley),,,
(4) Focus and track: pixel-wise spatio-temporal hurricane tracking,Sookyung Kim (Lawrence Livermore National Laboratory); Sunghyun Park (Korea University); Sunghyo Chung (Korea University); Yunsung Lee (Korea University); Hyojin Kim (LLNL); Joonseok Lee (Google Research); Jaegul Choo (Korea University); Mr Prabhat (Lawrence Berkeley National Laboratory),,,
(5) Recovering the parameters underlying the Lorenz-96 chaotic dynamics,Soukayna Mouatadid (University of Toronto); Pierre Gentine (Columbia University); Wei Yu (University of Toronto); Steve Easterbrook (University of Toronto),,,
"(6) Using Bayesian Optimization to Improve Solar Panel Performance by Developing Antireflective, Superomniphobic Glass",Sajad Haghanifar (University of Pittsburgh); Bolong Cheng (SigOpt); Mike Mccourt (SigOpt); Paul Leu (University of Pittsburgh),,,
(7) A quantum mechanical approach for data assimilation in climate dynamics,"Dimitrios Giannakis (Courant Institute of Mathematical Sciences, New York University); Joanna Slawinska (University of Wisconsin-Milwaukee); Abbas Ourmazd (University of Wisconsin-Milwaukee)",,,
(8) Data-driven Chance Constrained Programming based Electric Vehicle Penetration Analysis,Di Wu (McGill); Tracy Cui (Google NYC); Doina Precup (McGill University); Benoit Boulet (McGill),,,
(9) Machine Learning for AC Optimal Power Flow Honorable Mention,Neel Guha (Carnegie Mellon University); Zhecheng Wang (Stanford University); Arun Majumdar (Stanford University),,,
(10) Targeted Meta-Learning for Critical Incident Detection in Weather Data,Mohammad Mahdi Kamani (The Pennsylvania State University); Sadegh Farhang (Pennsylvania State University); Mehrdad Mahdavi (Penn State); James Z Wang (The Pennsylvania State University),,,
(11) ClimateNet: Bringing the power of Deep Learning to weather and climate sciences via open datasets and architectures,Karthik Kashinath (Lawrence Berkeley National Laboratory); Mayur Mudigonda (UC Berkeley); Kevin Yang (UC Berkeley); Jiayi Chen (UC Berkeley); Annette Greiner (Lawrence Berkeley National Laboratory); Mr Prabhat (Lawrence Berkeley National Laboratory),,,
(12) Improving Subseasonal Forecasting in the Western U.S. with Machine Learning,Paulo Orenstein (Stanford); Jessica Hwang (Stanford); Judah Cohen (AER); Karl Pfeiffer (AER); Lester Mackey (Microsoft Research New England),,,
(13) Unsupervised Temporal Clustering to Monitor the Performance of Alternative Fueling Infrastructure,Kalai Ramea (PARC),,,
(14) A Flexible Pipeline for Prediction of Tropical Cyclone Paths,Niccolo Dalmasso (Carnegie Mellon University); Robin Dunn (Carnegie Mellon University); Benjamin LeRoy (Carnegie Mellon University); Chad Schafer (Carnegie Mellon University),,,
(15) Mapping land use and land cover changes faster and at scale with deep learning on the cloud,Zhuangfang Yi (Development Seed); Drew Bollinger (Development Seed); Devis Peressutti (Sinergise),,,
(16) Achieving Conservation of Energy in Neural Network Emulators for Climate Modeling,Tom G Beucler (Columbia University & UCI); Stephan Rasp (Ludwig-Maximilian University of Munich); Michael Pritchard (UCI); Pierre Gentine (Columbia University),,,
(17) The Impact of Feature Causality on Normal Behaviour Models for SCADA-based Wind Turbine Fault Detection,Telmo Felgueira (IST),,,
(18) Predicting CO2 Plume Migration using Deep Neural Networks,Gege Wen (Stanford University),,,
(19) Truck Traffic Monitoring with Satellite Images,Lynn Kaack (ETH Zurich); George H Chen (Carnegie Mellon University); Granger Morgan (Carnegie Mellon University),,,
(20) Evaluating aleatoric and epistemic uncertainties of time series deep learning models for soil moisture predictions,Chaopeng Shen (Pennsylvania State University), David R Thompson (NASA JPL/Caltech), Vijay Natraj (NASA JPL/Caltech)," Mario Parente (UMass Amherst)"""
(21) Detecting anthropogenic cloud perturbations with deep learning Best Paper Award,Duncan Watson-Parris (University of Oxford); Sam Sutherland (University of Oxford); Matthew Christensen (University of Oxford); Anthony Caterini (University of Oxford); Dino Sejdinovic (University of Oxford); Philip Stier (University of Oxford),,,
"(22) Data-driven surrogate models for climate modeling: application of echo state networks, RNN-LSTM and ANN to the multi-scale Lorenz system as a test case",Ashesh K Chattopadhyay (Rice University); Pedram Hassanzadeh (Rice University); Devika Subramanian (Rice University); Krishna Palem (Rice University); Charles Jiang (Rice University); Adam Subel (Rice University),,,
(23) Learning Radiative Transfer Models for Climate Change Applications in Imaging Spectroscopy,"Shubhankar V Deshpande (Carnegie Mellon University), Brian D Bue (NASA JPL/Caltech), David R Thompson (NASA JPL/Caltech), Vijay Natraj (NASA JPL/Caltech), Mario Parente (UMass Amherst)",,,
(24) Planetary Scale Monitoring of Urban Growth in High Flood Risk Areas,Christian F Clough (Planet); Ramesh Nair (Planet); Gopal Erinjippurath (Planet); Matt George (Planet); Jesus Martinez Manso (Planet),,,
(25) Efficient Multi-temporal and In-season Crop Mapping with Landsat Analysis Ready Data via Long Short-term Memory Networks,Jinfan Xu (Zhejiang University); Renhai Zhong (Zhejiang University); Jialu Xu (Zhejiang University); Haifeng Li (Central South University); Jingfeng Huang (Zhejiang University); Tao Lin (Zhejiang University),,,
(26) Autopilot of Cement Plants for Reduction of Fuel Consumption and Emissions,Prabal Acharyya (Petuum Inc); Sean D Rosario (Petuum Inc); Roey Flor (Petuum Inc); Ritvik Joshi (Petuum Inc); Dian Li (Petuum Inc); Roberto Linares (Petuum Inc); Hongbao Zhang (Petuum Inc),,,
(27) Towards a Sustainable Food Supply Chain Powered by Artificial Intelligence Honorable Mention,Volodymyr Kuleshov (Stanford University),,,
(28) PVNet: A LRCN Architecture for Spatio-Temporal Photovoltaic Power Forecasting from Numerical Weather Prediction,Johan Mathe (Frog Labs),,,
(29) Finding Ship-tracks Using Satellite Data to Enable Studies of Climate and Trade Related Issues,Tianle Yuan (NASA),,,
(30) Using Smart Meter Data to Forecast Grid Scale Electricity Demand,"Abraham Stanway (Amperon Holdings, Inc); Ydo Wexler (Amperon)",,,
(31) Deep Learning for Wildlife Conservation and Restoration Efforts,Clement Duhart (MIT Media Lab),,,
(32) Reinforcement Learning for Sustainable Agriculture,"Jonathan Binas (Mila, Montreal); Leonie Luginbuehl (Department of Plant Sciences, University of Cambridge); Yoshua Bengio (Mila)",,,
(33) Stratospheric Aerosol Injection as a Deep Reinforcement Learning Problem Honorable Mention,Christian A Schroeder (University of Oxford); Thomas Hornigold (University of Oxford),,,
(34) Using Natural Language Processing to Analyze Financial Climate Disclosures,Sasha Luccioni (Mila); Hector Palacios (Element AI),,,
(35) Machine Learning-based Maintenance for Renewable Energy: The Case of Power Plants in Morocco,Kris Sankaran (Montreal Institute for Learning Algorithms); Zouheir Malki (Polytechnique Montréal); Loubna Benabou (UQAR); Hicham Bouzekri (MASEN),,,
(36) GainForest: Scaling Climate Finance for Forest Conservation using Interpretable Machine Learning on Satellite Imagery,David Dao (ETH); Ce Zhang (ETH); Nick Beglinger (Cleantech21); Catherine Cang (UC Berkeley); Reuven Gonzales (OasisLabs); Ming-Da Liu Zhang (ETHZ); Nick Pawlowski (Imperial College London); Clement Fung (University of British Columbia),,,
(37) Machine Intelligence for Floods and the Built Environment Under Climate Change,Kate Duffy (Northeastern University); Auroop Ganguly (Northeastern University),,,
(38) Predicting Marine Heatwaves using Global Climate Models with Cluster Based Long Short-Term Memory,Hillary S Scannell (University of Washington); Chris Fraley (Tableau Software); Nathan Mannheimer (Tableau Software); Sarah Battersby (Tableau Software); LuAnne Thompson (University of Washington),,,
(39) ML-driven search for zero-emissions ammonia production materials,Kevin McCloskey (Google),,,
(40) Low-carbon urban planning with machine learning,Nikola Milojevic-Dupont (Mercator Research Institute on Global Commons and Climate Change (MCC)); Felix Creutzig (Mercator Research Institute on Global Commons and Climate Change (MCC)),,,
(41) The Grid Resilience & Intelligence Platform (GRIP),Ashley Pilipiszyn (Stanford University),,,
(42) Meta-Optimization of Optimal Power Flow,Mahdi Jamei (Invenia Labs); Letif Mones (Invenia Labs); Alex Robson (Invenia Labs); Lyndon White (Invenia Labs); James Requeima (Invenia Labs); Cozmin Ududec (Invenia Labs),,,
(43) Learning representations to predict landslide occurrences and detect illegal mining across multiple domains,Aneesh Rangnekar (Rochester Institute of Technology); Matthew J Hoffman (Rochester Institute of Technology),,,
(44) Harness the Power of Artificial intelligence and -Omics to Identify Soil Microbial Functions in Climate Change Projection,Yang Song (Oak Ridge National Lab); Dali Wang (Oak Ridge National Lab); Melanie Mayes (Oak Ridge National Lab),,,